«БИРИМДИК»,«МЕКЕНЧИЛ»,«ЫЙМАН НУРУ»,«МЕКЕНИМ КЫРГЫЗСТАН»,«РЕФОРМА» партиясы,«АТА МЕКЕН» саясий социалисттик партиясы,«ЗАМАНДАШ»,«БҮТҮН КЫРГЫЗСТАН» саясий партиясы,СОЦИАЛ-ДЕМОКРАТТАР,«МЕКЕН ЫНТЫМАГЫ»,«АФГАНИСТАН СОГУШУНУН АРДАГЕРЛЕРИ ЖАНА УШУЛ СЫЯКТУУ КАГЫШУУЛАРГА КАТЫШКАНДАРДЫН САЯСИЙ ПАРТИЯСЫ»,«ОРДО»,«БИР БОЛ»,РЕСПУБЛИКА,«КЫРГЫЗСТАН»,«ЧОҢ КАЗАТ»,БААРЫНА КАРШЫ,total,form2_percent,level_one
222.99999999999991,53.0,64.00000000000001,266.00000000000006,88.00000000000001,55.0,9.999999999999998,76.00000000000001,65.00000000000001,14.0,2.0,11.000000000000002,22.000000000000004,123.0,55.0,53.99999999999999,60.0,1241.0,9.70464135021097,БИШКЕК Г.
99.0,100.0,86.99999999999999,171.0,72.99999999999999,98.00000000000001,19.0,98.00000000000001,76.0,18.0,5.000000000000001,3.0000000000000004,23.000000000000004,164.00000000000003,16.0,127.0,32.0,1209.0,2.5609756097560976,БИШКЕК Г.
223.99999999999997,146.99999999999997,101.0,155.0,98.99999999999999,113.99999999999999,33.0,118.0,68.99999999999999,16.0,4.0,11.0,33.0,201.0,17.999999999999996,91.0,44.99999999999999,1479.0,24.82504604051565,БИШКЕК Г.
67.99999999999999,87.0,73.99999999999999,160.0,51.0,96.0,57.0,98.00000000000001,72.99999999999999,7.0,0.0,7.0,30.0,125.00000000000001,17.999999999999996,91.0,33.99999999999999,1076.0,6.036395916555703,БИШКЕК Г.
329.0,51.99999999999999,75.00000000000001,66.00000000000001,129.0,90.00000000000001,31.0,65.0,117.00000000000001,13.0,3.0,6.0,26.0,156.0,30.0,73.00000000000001,51.00000000000001,1312.0,10.13843648208469,БИШКЕК Г.
126.99999999999999,77.99999999999999,51.0,230.00000000000003,108.0,96.0,60.00000000000001,98.0,115.00000000000001,19.0,0.9999999999999999,17.0,30.000000000000004,179.00000000000003,35.99999999999999,89.0,35.0,1369.0,2.338530066815145,БИШКЕК Г.
97.0,120.99999999999999,88.00000000000001,243.0,91.99999999999999,145.0,40.0,108.0,96.0,19.000000000000004,2.0000000000000004,6.0,34.0,176.99999999999997,26.000000000000004,108.0,56.99999999999999,1459.0,1.9469026548672566,БИШКЕК Г.
86.99999999999999,163.99999999999997,93.99999999999999,224.0,89.0,125.0,54.00000000000001,125.0,99.0,20.000000000000004,1.0,4.999999999999999,34.0,157.00000000000003,15.0,103.00000000000001,38.99999999999999,1435.0,8.217054263565892,БИШКЕК Г.
272.0,19.000000000000004,28.0,84.00000000000001,98.0,35.00000000000001,20.0,29.000000000000004,76.00000000000001,6.0,1.9999999999999998,3.9999999999999996,20.0,92.0,16.000000000000004,24.0,38.999999999999986,864.0,18.76184459886292,БИШКЕК Г.
330.00000000000006,66.0,60.0,67.99999999999999,131.00000000000003,59.0,12.0,60.0,107.0,8.0,2.0,9.0,49.0,144.0,27.000000000000004,52.0,65.00000000000001,1249.0,35.92953175707,БИШКЕК Г.
415.0,33.0,42.00000000000001,103.0,77.00000000000001,52.0,14.0,43.0,77.00000000000001,1.0,3.9999999999999996,3.9999999999999996,15.0,101.99999999999999,30.99999999999999,42.00000000000001,49.0,1104.0,39.15343915343915,БИШКЕК Г.
310.0,40.0,42.0,71.99999999999999,153.00000000000003,50.0,15.0,45.0,111.99999999999999,12.0,4.999999999999998,10.0,29.000000000000004,99.0,36.99999999999999,37.99999999999999,50.0,1119.0,28.508341511285572,БИШКЕК Г.
208.00000000000003,49.0,42.0,188.99999999999991,118.00000000000001,66.0,19.0,35.00000000000001,86.00000000000001,9.0,10.999999999999998,2.0,24.0,185.0,24.999999999999996,46.0,67.0,1181.0,16.666666666666664,БИШКЕК Г.
339.0,44.0,58.0,269.0,94.0,75.99999999999999,28.0,72.00000000000001,84.99999999999999,12.0,5.999999999999999,1.0,14.0,126.00000000000004,23.0,51.0,47.0,1345.0,13.461538461538462,БИШКЕК Г.
378.99999999999994,65.0,32.00000000000001,285.0,67.99999999999999,53.0,16.000000000000004,61.00000000000002,56.99999999999999,9.0,3.0000000000000004,2.0000000000000004,11.0,115.99999999999999,21.000000000000004,60.00000000000001,39.0,1277.0,37.70419426048565,БИШКЕК Г.
303.00000000000006,43.0,54.0,183.0,83.00000000000001,61.00000000000002,13.0,53.0,95.0,14.0,9.000000000000002,9.000000000000002,15.0,119.0,29.0,56.0,53.0,1192.0,23.92988177741541,БИШКЕК Г.
446.99999999999983,30.000000000000004,36.99999999999999,106.0,85.00000000000001,35.0,28.0,59.0,89.0,9.0,7.0,10.0,8.0,121.00000000000001,51.99999999999999,34.00000000000001,50.0,1207.0,28.9544235924933,БИШКЕК Г.
